[2026-03-08 19:23:50,489] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/v1/token/
[2026-03-08 19:25:50,508] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-08 19:26:03,502] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/refresh/
[2026-03-08 19:26:16,917] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-08 19:26:58,137] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/refresh/
[2026-03-08 19:27:08,570] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/refresh/
[2026-03-08 19:28:52,950] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/teste/
[2026-03-10 15:17:53,950] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/token
[2026-03-10 15:17:53,956] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/token/
[2026-03-10 15:18:17,329] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 15:18:17,938] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/v1/stock/create/
[2026-03-10 15:19:27,559] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1
[2026-03-10 15:19:35,764] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 15:19:36,379] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/v1/stock/create/
[2026-03-10 15:19:46,256] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:19:48,982] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:19:49,813] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:19:50,558] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:19:51,149] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:19:52,197] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/stock/create/
[2026-03-10 15:20:38,280] INFO [api_logger:25] IP: 127.0.0.1 | Método: GET | URL: /api/v1/credit-stock/create/
[2026-03-10 15:21:14,946] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-10 15:21:15,506] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/v1/credit-stock/create/
[2026-03-10 15:23:39,545] INFO [api_logger:25] IP: 127.0.0.1 | Método: POST | URL: /api/token/
